condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2,345,0.0,0.0,300,59,-1.48
interleaved,2,346,0.0,0.0,358,83,-1.5
interleaved,2,347,0.0,0.0,284,75,-1.38
interleaved,2,348,26.78,0.0,317,66,-1.44
interleaved,2,349,0.0,0.0,292,67,-1.42
interleaved,2,350,0.0,0.0,283,91,-1.39
interleaved,2,351,26.78,0.0,348,83,-1.4
interleaved,2,352,26.78,0.0,341,75,-1.35
interleaved,2,353,0.0,0.0,316,84,-1.3
interleaved,2,354,26.78,0.0,342,75,-1.41
interleaved,2,355,0.0,0.0,315,67,-1.29
interleaved,2,356,26.78,0.0,383,59,-1.44
interleaved,2,357,0.0,0.0,325,75,-1.45
interleaved,2,358,26.78,0.0,317,76,-1.47
interleaved,2,359,26.78,0.0,359,74,-1.36
interleaved,2,360,0.0,0.0,350,117,-1.54
interleaved,2,361,0.0,0.0,350,76,-1.42
interleaved,2,362,26.78,0.0,292,74,-1.5
interleaved,2,363,0.0,0.0,357,77,-1.41
interleaved,2,364,26.78,0.0,463,71,-1.44
interleaved,2,365,0.0,0.0,333,67,-1.4
interleaved,2,366,0.0,0.0,308,100,-1.41
interleaved,2,367,26.78,0.0,309,83,-1.38
interleaved,2,368,26.78,0.0,333,67,-1.4
interleaved,2,369,26.78,0.0,300,74,-1.36
interleaved,2,370,26.78,0.0,317,83,-1.41
interleaved,2,371,26.78,0.0,343,83,-1.33
interleaved,2,372,0.0,0.0,350,75,-1.44
interleaved,2,373,0.0,0.0,367,66,-1.36
interleaved,2,374,26.78,0.0,384,90,-1.44
interleaved,2,375,0.0,0.0,492,84,-1.39
interleaved,2,376,0.0,0.0,325,83,-1.5
interleaved,2,377,0.0,0.0,333,75,-1.47
interleaved,2,378,26.78,0.0,335,66,-1.37
interleaved,2,379,26.78,0.0,367,83,-1.46
interleaved,2,380,26.78,0.0,366,125,-1.54
interleaved,2,381,0.0,0.0,358,83,-1.43
interleaved,2,382,0.0,0.0,333,58,-1.46
interleaved,2,383,0.0,0.0,383,58,-1.44
interleaved,2,384,0.0,0.0,309,66,-1.46
interleaved,2,385,0.0,0.0,292,83,-1.53
interleaved,2,386,0.0,0.0,325,67,-1.49
interleaved,2,387,26.78,0.0,342,75,-1.54
interleaved,2,388,0.0,0.0,324,66,-1.5
interleaved,2,389,0.0,0.0,275,92,-1.47
interleaved,2,390,26.78,0.0,333,92,-1.54
interleaved,2,391,0.0,0.0,309,79,-1.48
interleaved,2,392,0.0,0.0,216,117,-1.55
interleaved,2,393,26.78,0.0,309,83,-1.57
interleaved,2,394,26.78,0.0,318,74,-1.46
interleaved,2,395,26.78,0.0,299,75,-1.57
interleaved,2,396,0.0,0.0,341,75,-1.46
interleaved,2,397,0.0,0.0,324,76,-1.54
interleaved,2,398,0.0,0.0,308,92,-1.57
interleaved,2,399,0.0,0.0,347,72,-1.47
interleaved,2,400,26.78,0.0,308,91,-1.6
interleaved,2,401,26.78,0.0,383,133,-1.51
interleaved,2,402,26.78,0.0,332,83,-1.52
interleaved,2,403,26.78,0.0,275,100,-1.56
interleaved,2,404,0.0,0.0,367,86,-1.55
interleaved,2,405,26.78,0.0,342,108,-1.58
interleaved,2,406,26.78,0.0,341,83,-1.56
interleaved,2,407,26.78,0.0,484,92,-1.57
interleaved,2,408,0.0,0.0,925,98,-1.48
interleaved,2,409,26.78,0.0,350,67,-1.52
interleaved,2,410,0.0,0.0,292,75,-1.49
interleaved,2,411,26.78,0.0,267,75,-1.56
interleaved,2,412,26.78,0.0,334,67,-1.43
interleaved,2,413,0.0,0.0,311,100,-1.59
interleaved,2,414,26.78,0.0,116,76,-1.55
interleaved,2,415,26.78,0.0,292,75,-1.5
interleaved,2,416,0.0,0.0,500,126,-1.52
interleaved,2,417,0.0,0.0,300,92,-1.46
interleaved,2,418,26.78,0.0,34,91,-1.62
interleaved,2,419,26.78,0.0,1109,83,-1.52
interleaved,2,420,0.0,0.0,367,92,-1.42
interleaved,2,421,0.0,0.0,309,83,-1.5
interleaved,2,422,26.78,0.0,283,75,-1.53
interleaved,2,423,0.0,0.0,308,78,-1.54
interleaved,2,424,26.78,0.0,295,70,-1.6
interleaved,2,425,26.78,0.0,295,83,-1.48
interleaved,2,426,0.0,0.0,309,83,-1.47
interleaved,2,427,26.78,0.0,259,99,-1.57
interleaved,2,428,0.0,0.0,284,75,-1.5
interleaved,2,429,26.78,0.0,282,83,-1.54
