date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,266,0.0,1.0,0.52,2009,332,-0.96
2025-03-27,mis_rep,1000,267,0.0,1.0,0.52,2002,959,-1.02
2025-03-27,mis_rep,1000,268,0.0,1.0,0.52,2009,540,-2.13
2025-03-27,mis_rep,1000,269,0.0,1.0,0.52,2009,593,-1.91
2025-03-27,mis_rep,1000,270,0.0,1.0,0.52,2005,410,-0.46
2025-03-27,mis_rep,1000,271,0.0,1.0,0.52,2003,475,-1.63
2025-03-27,mis_rep,1000,272,0.0,1.0,0.52,2004,744,-0.8
2025-03-27,mis_rep,1000,273,0.0,1.0,0.52,2009,550,-1.78
2025-03-27,mis_rep,1000,274,0.0,1.0,0.52,2010,461,-1.44
2025-03-27,mis_rep,1000,275,0.0,1.0,0.52,2001,396,-1.11
2025-03-27,mis_rep,1000,276,0.0,1.0,0.52,2001,446,-0.92
2025-03-27,mis_rep,1000,277,0.0,1.0,0.52,2006,463,-1.39
2025-03-27,mis_rep,1000,278,0.0,1.0,0.52,2008,342,-1.34
2025-03-27,mis_rep,1000,279,0.0,1.0,0.52,2009,376,-1.58
2025-03-27,mis_rep,1000,280,0.0,1.0,0.52,2004,458,-1.18
2025-03-27,mis_rep,1000,281,0.0,1.0,0.52,2002,394,-1.08
2025-03-27,mis_rep,1000,282,0.0,1.0,0.52,2005,411,-1.27
2025-03-27,mis_rep,1000,283,0.0,1.0,0.52,2008,1153,-2.02
2025-03-27,mis_rep,1000,284,0.0,1.0,0.52,2004,404,-1.21
2025-03-27,mis_rep,1000,285,0.0,1.0,0.52,2006,376,-0.98
2025-03-27,mis_rep,1000,286,0.0,1.0,0.52,2008,394,-1.13
2025-03-27,mis_rep,1000,287,0.0,1.0,0.52,2004,447,-1.06
2025-03-27,mis_rep,1000,288,0.0,1.0,0.52,2001,386,-1.09
2025-03-27,mis_rep,1000,289,0.0,1.0,0.52,2009,387,-1.07
2025-03-27,mis_rep,1000,290,0.0,1.0,0.52,2010,382,-1.06
2025-03-27,mis_rep,1000,291,0.0,1.0,0.52,2008,392,-1.16
2025-03-27,mis_rep,1000,292,0.0,1.0,0.52,2003,383,-1.14
2025-03-27,mis_rep,1000,293,0.0,1.0,0.52,2003,380,-1.03
2025-03-27,mis_rep,1000,294,0.0,1.0,0.52,2011,276,-1.09
2025-03-27,mis_rep,1000,295,0.0,1.0,0.52,2009,324,-1.06
2025-03-27,mis_rep,1000,296,0.0,1.0,0.52,2001,385,-1.12
2025-03-27,mis_rep,1000,297,0.0,1.0,0.52,2006,405,-1.05
2025-03-27,mis_rep,1000,298,0.0,1.0,0.52,2007,549,-2.1
2025-03-27,mis_rep,1000,299,0.0,1.0,0.52,2007,431,-1.44
2025-03-27,mis_rep,1000,300,0.0,1.0,0.52,2009,360,-1.35
2025-03-27,mis_rep,1000,301,0.0,1.0,0.52,2005,377,-0.8
2025-03-27,mis_rep,1000,302,0.0,1.0,0.52,2010,518,-1.33
2025-03-27,mis_rep,1000,303,0.0,1.0,0.52,2003,387,-1.06
2025-03-27,mis_rep,1000,304,0.0,1.0,0.52,2007,407,-1.18
2025-03-27,mis_rep,1000,305,0.0,1.0,0.52,2007,460,-0.93
2025-03-27,mis_rep,1000,306,0.0,1.0,0.52,2003,703,-1.33
2025-03-27,mis_rep,1000,307,0.0,1.0,0.52,2002,394,-1.1
2025-03-27,mis_rep,1000,308,0.0,1.0,0.52,2010,422,-1.24
2025-03-27,mis_rep,1000,309,0.0,1.0,0.52,2006,363,-1.17
2025-03-27,mis_rep,1000,310,0.0,1.0,0.52,2008,441,-1.03
2025-03-27,mis_rep,1000,311,0.0,1.0,0.52,2004,675,-1.07
2025-03-27,mis_rep,1000,312,0.0,1.0,0.52,2002,604,-1.73
2025-03-27,mis_rep,1000,313,0.0,1.0,0.52,2008,541,-1.38
2025-03-27,mis_rep,1000,314,0.0,1.0,0.52,2008,1016,-1.32
2025-03-27,mis_rep,1000,315,0.0,1.0,0.52,2005,566,-1.34
2025-03-27,mis_rep,1000,316,0.0,1.0,0.52,2009,566,-1.3
