,condition,trial,phase,su_prev,emv,delta_emv,movement_error,movement_error_prev,rotation
497,interleaved,72,2.0,26.78,-0.9117369251841012,-1.843813748714382,-30.70554227198691,-28.86172852327253,29.79380534680281
498,interleaved,73,2.0,0.0,1.403315092895923,2.3150520180800243,-28.390490253906886,-30.70554227198691,29.79380534680281
499,interleaved,74,2.0,26.78,-0.6801664425593401,-2.083481535455263,-30.47397178936215,-28.390490253906886,29.79380534680281
500,interleaved,75,2.0,0.0,-2.623461907706698,-1.943295465147358,-32.41726725450951,-30.47397178936215,29.79380534680281
501,interleaved,76,2.0,26.78,-0.6034462709986315,2.0200156367080666,-30.39725161780144,-32.41726725450951,29.79380534680281
502,interleaved,77,2.0,26.78,-1.1451270046744355,-0.541680733675804,-30.938932351477245,-30.39725161780144,29.79380534680281
503,interleaved,78,2.0,0.0,0.14972610145154874,1.2948531061259843,-29.64407924535126,-30.938932351477245,29.79380534680281
504,interleaved,79,2.0,26.78,-1.9731355546060314,-2.12286165605758,-31.76694090140884,-29.64407924535126,29.79380534680281
505,interleaved,80,2.0,0.0,-0.2835406130806746,1.6895949415253568,-30.077345959883484,-31.76694090140884,29.79380534680281
506,interleaved,81,2.0,26.78,0.8171479019602401,1.1006885150409147,-28.97665744484257,-30.077345959883484,29.79380534680281
507,interleaved,82,2.0,26.78,-0.09454636559965479,-0.9116942675598949,-29.888351712402464,-28.97665744484257,29.79380534680281
508,interleaved,83,2.0,26.78,1.2236278321221334,1.3181741977217882,-28.570177514680676,-29.888351712402464,29.79380534680281
509,interleaved,84,2.0,26.78,-2.548514727243912,-3.7721425593660456,-32.342320074046725,-28.570177514680676,29.79380534680281
510,interleaved,85,2.0,0.0,-1.1916049642428135,1.3569097630010987,-30.985410311045623,-32.342320074046725,29.79380534680281
511,interleaved,86,2.0,26.78,4.389958539009982,5.581563503252795,-25.403846807792828,-30.985410311045623,29.79380534680281
512,interleaved,87,2.0,0.0,2.5720043954078022,-1.8179541436021793,-27.221800951395007,-25.403846807792828,29.79380534680281
513,interleaved,88,2.0,26.78,3.054479133570368,0.4824747381625656,-26.73932621323244,-27.221800951395007,29.79380534680281
514,interleaved,89,2.0,26.78,2.983544697833935,-0.07093443573643299,-26.810260648968875,-26.73932621323244,29.79380534680281
515,interleaved,90,2.0,0.0,3.5706662634487287,0.5871215656147939,-26.22313908335408,-26.810260648968875,29.79380534680281
516,interleaved,91,2.0,26.78,1.312133054095625,-2.2585332093531036,-28.481672292707184,-26.22313908335408,29.79380534680281
517,interleaved,92,2.0,0.0,1.3744915983912875,0.062358544295662455,-28.419313748411522,-28.481672292707184,29.79380534680281
518,interleaved,93,2.0,0.0,2.4595321334088993,1.0850405350176118,-27.33427321339391,-28.419313748411522,29.79380534680281
519,interleaved,94,2.0,0.0,-1.2461043589576093,-3.7056364923665086,-31.03990970576042,-27.33427321339391,29.79380534680281
520,interleaved,95,2.0,0.0,-2.578731212820415,-1.3326268538628057,-32.37253655962323,-31.03990970576042,29.79380534680281
521,interleaved,96,2.0,0.0,2.338621607161741,4.917352819982156,-27.45518373964107,-32.37253655962323,29.79380534680281
522,interleaved,97,2.0,0.0,-3.0302652147681357,-5.368886821929877,-32.82407056157095,-27.45518373964107,29.79380534680281
523,interleaved,98,2.0,26.78,-2.0973267886861464,0.9329384260819893,-31.891132135488956,-32.82407056157095,29.79380534680281
524,interleaved,99,2.0,26.78,-0.5779675537023792,1.5193592349837672,-30.37177290050519,-31.891132135488956,29.79380534680281
525,interleaved,100,2.0,0.0,1.9980408954943556,2.5760084491967348,-27.795764451308454,-30.37177290050519,29.79380534680281
526,interleaved,101,2.0,0.0,-1.2112803411231567,-3.2093212366175123,-31.005085687925966,-27.795764451308454,29.79380534680281
527,interleaved,102,2.0,26.78,-2.476208439225104,-1.2649280981019473,-32.27001378602792,-31.005085687925966,29.79380534680281
528,interleaved,103,2.0,0.0,-1.6635359898210709,0.8126724494040332,-31.45734133662388,-32.27001378602792,29.79380534680281
529,interleaved,104,2.0,0.0,1.4074383712780474,3.0709743610991183,-28.386366975524762,-31.45734133662388,29.79380534680281
530,interleaved,105,2.0,26.78,1.1822104270491138,-0.22522794422893355,-28.611594919753696,-28.386366975524762,29.79380534680281
531,interleaved,106,2.0,26.78,1.3055882421636227,0.12337781511450885,-28.488217104639187,-28.611594919753696,29.79380534680281
532,interleaved,107,2.0,0.0,-0.32537468894402366,-1.6309629311076463,-30.119180035746833,-28.488217104639187,29.79380534680281
533,interleaved,108,2.0,26.78,2.9642003295295467,3.2895750184735704,-26.829605017273263,-30.119180035746833,29.79380534680281
534,interleaved,109,2.0,0.0,0.8484915904149943,-2.1157087391145524,-28.945313756387815,-26.829605017273263,29.79380534680281
535,interleaved,110,2.0,0.0,5.783150912912177,4.934659322497183,-24.010654433890632,-28.945313756387815,29.79380534680281
