condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,1002,31,1,102,52.76,81.4,0.06,1.28,102,2726,Correct
incongruent_pointer_middle,1002,32,1,106,83.01,60.25,0.09,0.95,102,3159,Incorrect
incongruent_pointer_middle,1002,33,1,106,54.72,39.21,0.06,0.62,106,892,Correct
incongruent_pointer_middle,1002,34,2,100,70.63,48.16,0.08,0.76,100,1016,Correct
incongruent_pointer_middle,1002,35,1,102,63.94,82.13,0.07,1.29,102,1658,Correct
incongruent_pointer_middle,1002,36,2,107,49.37,65.23,0.06,1.02,100,1089,Incorrect
incongruent_pointer_middle,1002,37,2,100,85.97,64.06,0.1,1.01,107,995,Incorrect
incongruent_pointer_middle,1002,38,2,107,48.67,57.35,0.05,0.9,100,2160,Incorrect
incongruent_pointer_middle,1002,39,1,102,61.44,74.41,0.07,1.17,106,1572,Incorrect
incongruent_pointer_middle,1002,40,2,107,54.38,79.52,0.06,1.25,107,2713,Correct
incongruent_pointer_middle,1002,41,2,107,68.23,81.52,0.08,1.28,107,2555,Correct
incongruent_pointer_middle,1002,42,2,100,78.94,57.66,0.09,0.91,100,1842,Correct
incongruent_pointer_middle,1002,43,2,100,57.09,33.59,0.06,0.53,100,1187,Correct
incongruent_pointer_middle,1002,44,2,107,19.12,46.73,0.02,0.73,100,8071,Incorrect
incongruent_pointer_middle,1002,45,2,107,43.52,56.42,0.05,0.89,100,2075,Incorrect
incongruent_pointer_middle,1002,46,1,102,59.52,82.99,0.07,1.3,102,1115,Correct
incongruent_pointer_middle,1002,47,2,100,44.06,33.93,0.05,0.53,107,11024,Incorrect
incongruent_pointer_middle,1002,48,1,106,39.3,24.16,0.04,0.38,102,4399,Incorrect
incongruent_pointer_middle,1002,49,1,106,49.52,39.3,0.06,0.62,106,2549,Correct
incongruent_pointer_middle,1002,50,1,102,59.38,73.08,0.07,1.15,102,1269,Correct
incongruent_pointer_middle,1002,51,1,106,79.91,59.69,0.09,0.94,106,2050,Correct
incongruent_pointer_middle,1002,52,1,102,51.9,70.88,0.06,1.11,102,1487,Correct
incongruent_pointer_middle,1002,53,1,106,73.99,47.56,0.08,0.75,106,3617,Correct
incongruent_pointer_middle,1002,54,2,100,48.64,26.45,0.05,0.42,100,4271,Correct
incongruent_pointer_middle,1002,55,2,100,51.7,30.58,0.06,0.48,100,2063,Correct
incongruent_pointer_middle,1002,56,1,106,76.73,63.63,0.09,1.0,106,2496,Correct
incongruent_pointer_middle,1002,57,2,107,40.53,48.35,0.05,0.76,100,4172,Incorrect
incongruent_pointer_middle,1002,58,1,106,53.25,40.46,0.06,0.64,106,8377,Correct
incongruent_pointer_middle,1002,59,1,106,51.57,35.76,0.06,0.56,102,2877,Incorrect
incongruent_pointer_middle,1002,60,1,106,58.15,42.21,0.07,0.66,106,1619,Correct
incongruent_pointer_middle,1002,61,2,107,56.09,76.87,0.06,1.21,100,11717,Incorrect
incongruent_pointer_middle,1002,62,1,106,80.92,63.01,0.09,0.99,106,7813,Correct
incongruent_pointer_middle,1002,63,2,107,39.54,48.04,0.04,0.75,107,11285,Correct
incongruent_pointer_middle,1002,64,2,107,11.88,30.53,0.01,0.48,107,4186,Correct
incongruent_pointer_middle,1002,65,1,102,27.97,59.41,0.03,0.93,102,13186,Correct
incongruent_pointer_middle,1002,66,1,102,59.46,78.78,0.07,1.24,106,1621,Incorrect
incongruent_pointer_middle,1002,67,2,107,43.3,53.72,0.05,0.84,100,5236,Incorrect
incongruent_pointer_middle,1002,68,1,102,50.33,76.54,0.06,1.2,106,5353,Incorrect
incongruent_pointer_middle,1002,69,1,106,36.04,22.81,0.04,0.36,106,4353,Correct
incongruent_pointer_middle,1002,70,1,102,67.17,87.79,0.08,1.38,102,4104,Correct
incongruent_pointer_middle,1002,71,2,107,20.55,39.46,0.02,0.62,107,6135,Correct
