condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29911.0,898,601
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29923.0,898,604
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29926.0,897,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29929.0,897,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29939.0,896,609
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29942.0,896,611
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29945.0,896,611
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29957.0,895,613
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29960.0,895,615
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29963.0,895,615
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29967.0,894,617
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29969.0,894,617
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29972.0,894,617
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29976.0,894,619
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29978.0,894,619
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29989.0,893,622
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29992.0,893,622
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29994.0,893,622
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30007.0,892,626
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30009.0,892,626
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30012.0,892,628
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30022.0,891,631
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30025.0,891,631
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30028.0,890,633
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30030.0,890,633
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30039.0,890,635
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30041.0,890,635
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30044.0,890,636
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30047.0,890,636
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30055.0,889,638
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30058.0,889,638
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30061.0,889,640
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30073.0,889,641
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30076.0,888,642
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,30080.0,888,642
